codigo_municipio_4d,Departamento,Municipio,maga_department,maga_municipality,mapped_area_ha,agricultural_land_ha,maize_bean_ha,A,total,agricultural_share_pct,agricultural_land_share_of_mapped_pct,maize_bean_share_of_agricultural_land_pct,ag_workers_per_100_agricultural_ha,historical_mean_may_aug_mm,historical_sd_may_aug_mm,rain_2026_may_aug_mm,rainfall_z_score_vs_1981_2025,z_2015_common,z_2026_common,impact_composite,impact_composite_2015
0115,Guatemala,Villa Nueva,Guatemala,Villa Nueva,8894.51819054402,2043.823051550765,793.51969854089,2528,185915,1.3597611811849502,22.978457154920466,38.825264150866744,123.68976845044693,749.2480761473272,147.86884669335356,353.2683504143919,-2.677911775115873,-1.2286841007792415,-2.677911775115873,331.2302873948077,151.97565192412998
0110,Guatemala,San Juan Sacatepéquez,Guatemala,San Juan Sacatepéquez,27255.45929344141,8787.18664874935,3348.139420248979,11822,82187,14.384270018372735,32.24009749439021,38.102518520253675,134.53680310389885,783.2933334662749,168.60131643179946,371.4920581773558,-2.4424558716627573,-1.4352991865651803,-2.4424558716627573,328.600204695854,193.10056405810585
0414,Chimaltenango,Parramos,Chimaltenango,Parramos,2941.665496680408,1976.9081354711855,293.2107304119926,2163,5528,39.12807525325615,67.20370272221889,14.831783285777586,109.41327830007945,798.4335508041568,147.67331471128813,364.8497853642977,-2.936100989454637,-1.1326548495714988,-2.936100989454637,321.24843467633883,123.92748027410103
0804,Totonicapán,San Andrés Xecul,Totonicapán,San Andrés Xecul,1648.9971743603405,925.361032558543,783.322222335708,1213,8576,14.144123134328359,56.11659297824437,84.65044396454539,131.08397234387104,549.2034851718106,110.96966396468513,285.28256516057064,-2.378315934120787,-1.3644922421673973,-2.378315934120787,311.75910013327706,178.8630633356977
0923,Quetzaltenango,La Esperanza,Quetzaltenango,La Esperanza,1222.0335302293938,373.319669055607,223.018727835477,439,8640,5.081018518518518,30.54905285500058,59.73934574614062,117.59358972714875,1437.055826931695,235.60654688793105,819.9844665527344,-2.6190756094416923,-1.3800986185686286,-2.6190756094416923,307.98650268106843,162.29075073496406
0710,Sololá,Panajachel,Sololá,Panajachel,799.838771961911,105.536081593752,71.600532846342,122,6835,1.7849305047549378,13.194669387542234,67.84460041065323,115.60027448207126,801.8707087544167,165.17576083893948,378.581897261304,-2.562656950046415,-1.5108526488345144,-2.562656950046415,296.24384682875314,174.6549809072343
0901,Quetzaltenango,Quetzaltenango,Quetzaltenango,Quetzaltenango,12680.46727961135,3660.999605447438,1328.1492467287949,3871,78325,4.942227896584743,28.871172684100376,36.278322585792026,105.73614906267919,1145.3146144931693,188.44248271678435,634.9287363098599,-2.7084438223539173,-1.5566247629894014,-2.7084438223539173,286.3804197283064,164.591507974105
0402,Chimaltenango,San José Poaquil,Chimaltenango,San José Poaquil,9651.506702824707,3887.9068147419453,1186.526485222098,4136,9483,43.61488980280502,40.2829002191344,30.518387959379425,106.38115050281938,709.0320780503096,141.40927988794732,332.68570136958704,-2.6613980141822324,-1.4081402945880126,-2.6613980141822324,283.12258269462467,149.79958460765178
0908,Quetzaltenango,San Miguel Sigüilá,Quetzaltenango,San Miguel Sigüilá,1713.4869295954074,742.8504977993757,668.0756640980958,833,1940,42.93814432989691,43.353146438927276,89.9340669592612,112.13561846800718,986.492573424658,161.14704633742463,579.7399730234918,-2.5241083199841583,-1.293798306099358,-2.5241083199841583,283.04244754166615,145.0808732273116
0308,Sacatepéquez,San Lucas Sacatepéquez,Sacatepéquez,San Lucas Sacatepéquez,2299.9999995681114,381.6428056128928,60.368518572432,396,10569,3.746806698836219,16.593165464545947,15.818068016632516,103.76194550924404,725.9762011225885,148.85370529187512,340.5414462558425,-2.589352775001323,-1.2984035656306097,-2.589352775001323,268.6762815438971,134.7248800259715
