municipality_id,department,municipality,corredor_seco_160,historical_mean_may_aug_mm,historical_median_may_aug_mm,historical_sd_may_aug_mm,historical_min_may_aug_mm,historical_max_may_aug_mm,historical_p10_may_aug_mm,historical_p20_may_aug_mm,historical_p80_may_aug_mm,historical_p90_may_aug_mm,rain_2026_may_aug_mm,rainfall_anomaly_pct_vs_historical_median,rainfall_historical_percentile,rainfall_z_score_vs_1981_2025,chirps_2026_status
707,Sololá,Santa Clara La Laguna,0,1465.2036463075349,1452.6010731567717,287.3942095803723,1026.2423378614426,2590.098949572264,1137.7118681610991,1205.1575769782726,1642.8781986870626,1767.7200054750665,733.434886324318,-49.50885691345196,0.0,-2.5462195673729164,FINAL
708,Sololá,Concepción,0,788.8802352552333,789.1839897198935,169.24181993202586,529.0381271663164,1408.2456550692739,594.2137562650063,648.2107089980774,898.487820803391,965.7498964934682,392.13917315204066,-50.31080479835591,0.0,-2.344225926325653,FINAL
709,Sololá,San Andrés Semetabaj,0,747.6849343704423,737.6690082579007,150.72352112651757,516.3149660278102,1322.9302044204892,564.4477785475954,634.242514111673,842.9392337327928,898.7544646098728,357.4007553117545,-51.54998362262746,0.0,-2.589404600832558,FINAL
710,Sololá,Panajachel,0,801.8707087544167,801.640375343677,165.17576083893948,552.3144729676487,1433.843128538141,610.2214353540994,676.7663602452465,888.689478802559,974.7050130727057,378.58189726130394,-52.77409809866433,0.0,-2.562656950046415,FINAL
711,Sololá,Santa Catarina Palopó,0,755.7059488544892,750.4502807696343,152.48686043079613,520.044878842953,1335.258067225329,571.5377718789246,636.5019009207924,846.0458581312284,904.37569054351,353.8461151123047,-52.848826340711994,0.0,-2.635373517474724,FINAL
712,Sololá,San Antonio Palopó,0,747.2474848891236,770.5230056891555,151.7801546256108,527.01170817023,1363.515769659246,575.8515475782214,614.3563218466428,827.7837282611619,905.1271779181944,359.829905201581,-53.30056305330568,0.0,-2.55249166561444,FINAL
713,Sololá,San Lucas Tolimán,0,998.124988336358,1003.3613775440534,195.54731318396853,711.9611192176296,1833.6821500405001,804.7958855670826,828.8416211150945,1122.9425913682305,1173.568445885124,480.1958409735826,-52.14128710545276,0.0,-2.6486129567810224,FINAL
714,Sololá,Santa Cruz La Laguna,0,882.1788192461042,887.9995315656525,183.01869125632155,601.3483618337327,1599.147359133872,673.8004287890949,696.0825722780269,979.1713755639731,1076.9026072503557,417.24388608295874,-53.01305110518398,0.0,-2.5403685818733908,FINAL
715,Sololá,San Pablo La Laguna,0,1315.3595202734073,1325.908506155014,265.1779670282575,900.8233103752136,2363.9985122680664,1018.4293606936932,1079.165779876709,1472.4714698672296,1606.929130935669,657.1620407104492,-50.43684857138858,0.0,-2.4820971626681945,FINAL
716,Sololá,San Marcos La Laguna,0,1244.0411190560706,1252.207150395778,251.48669019868393,851.2201998883712,2237.7329757799607,960.4346093372674,1015.5365743493405,1390.8081279020523,1520.6837650633036,646.9889078338819,-48.33211840154468,0.0,-2.374090695418096,FINAL
