codigo_municipio_4d,Departamento,Municipio,maga_department,maga_municipality,mapped_area_ha,agricultural_land_ha,maize_bean_ha,A,total,agricultural_share_pct,agricultural_land_share_of_mapped_pct,maize_bean_share_of_agricultural_land_pct,ag_workers_per_100_agricultural_ha
0410,Chimaltenango,Santa Cruz Balanyá,Chimaltenango,Santa Cruz Balanyá,1979.8293779454093,1415.76650684822,5.19622811937,2247,3989,56.32990724492354,71.50952110415939,0.3670257838587978,158.71261179940416
0411,Chimaltenango,Acatenango,Chimaltenango,Acatenango,13090.67200779785,7932.129546944315,1198.052222232898,3755,6678,56.22941000299491,60.59375364549127,15.10379041520347,47.33911590546998
0412,Chimaltenango,Yepocapa,Chimaltenango,Yepocapa,20531.027120241735,11469.146609590854,403.272501974034,4557,10704,42.57286995515695,55.862507717810736,3.5161509020802395,39.73268591918858
0413,Chimaltenango,San Andrés Itzapa,Chimaltenango,San Andrés Itzapa,6760.758188938088,2930.3445950995692,1360.976390299885,4359,11807,36.91877699669688,43.34343150882369,46.44424388093649,148.75383623105552
0414,Chimaltenango,Parramos,Chimaltenango,Parramos,2941.665496680408,1976.9081354711855,293.2107304119926,2163,5528,39.12807525325615,67.20370272221889,14.831783285777586,109.41327830007945
0415,Chimaltenango,Zaragoza,Chimaltenango,Zaragoza,5188.259556920008,2395.4011988407296,915.404016574752,3299,8934,36.9263487799418,46.169648464209665,38.21506046743935,137.72223215036266
0416,Chimaltenango,El Tejar,Chimaltenango,El Tejar,4552.188313120016,1959.7054972390595,1074.399804442268,609,7857,7.751050019091256,43.049745802275496,54.824554299405776,31.076097957473333
0501,Escuintla,Escuintla,Escuintla,Escuintla,54585.45543210968,32490.432528331796,276.3258101003136,4065,59012,6.888429471971802,59.5221424299401,0.8504836304021386,12.51137545323628
0502,Escuintla,Santa Lucía Cotzumalguapa,Escuintla,Santa Lucía Cotzumalguapa,45432.3977903044,38526.674208998025,672.378707212734,6846,33357,20.52342836586024,84.80000194315056,1.7452290420014969,17.769506817178357
0503,Escuintla,La Democracia,Escuintla,La Democracia,28960.14316970232,27035.431274239836,447.24274663334,1435,6587,21.785334750265676,93.35392824481582,1.6542837511879687,5.307849486267714
0504,Escuintla,Siquinalá,Escuintla,Siquinalá,18424.830531960026,12979.83357757609,116.66418868635999,1298,7242,17.923225628279482,70.44750590818758,0.8988111287336426,10.000128216146159
0505,Escuintla,Masagua,Escuintla,Masagua,47299.296438958874,41259.50014527578,1528.9701638060499,3606,11182,32.248256125916654,87.2306847069541,3.705740880094296,8.739805347382251
0506,Escuintla,Tiquisate,Escuintla,Tiquisate,47128.59714113344,43518.1817447844,301.5683158675,8337,20469,40.72988421515463,92.33922583025942,0.6929708544260184,19.157509955018234
0507,Escuintla,La Gomera,Escuintla,La Gomera,51829.92695629073,49310.74131833184,264.07374706525,5820,13935,41.76533907427341,95.13951536130205,0.535529866323623,11.80270230055606
0508,Escuintla,Guanagazapa,Escuintla,Guanagazapa,22722.495180636128,16217.643412256088,623.775399459447,1306,3207,40.72341752416589,71.37263440186179,3.8462764509179186,8.052957922437871
0509,Escuintla,San José,Escuintla,San José,21778.65588566764,17180.32541249157,573.26732690769,2710,22359,12.120398944496623,78.88606855576337,3.33676640659481,15.773857217102522
0510,Escuintla,Iztapa,Escuintla,Iztapa,6512.485875525851,3699.4924857303,279.29330542355,832,5176,16.0741885625966,56.806149854898294,7.549503249454932,22.489571291445905
0511,Escuintla,Palín,Escuintla,Palín,11088.058754232436,4777.7563451026435,122.413418474622,1991,25510,7.804782438259506,43.08920480132666,2.562152810494402,41.672279961301086
0512,Escuintla,San Vicente Pacaya,Escuintla,San Vicente Pacaya,14987.858122119134,5044.89874613689,152.015297637115,1899,5711,33.251619681316754,33.659904604325085,3.0132477436444107,37.64198441949209
