rank_2026_C,codigo_municipio_4d,department,municipality,rainfall_2026_may_aug_mm,historical_median_rainfall_mm_1981_2025,historical_sd_rainfall_mm_1981_2025,z_2026_common_1981_2025,H_2026,agricultural_workers_ine_2018,total_workers_ine_2018,agricultural_dependence_pct,mapped_agricultural_land_ha_maga_2025,ag_workers_per_100_mapped_agricultural_ha,d_dependency_percentile,p_density_percentile,E_structural_exposure,C_impact_2026,z_2015_common_1981_2025,H_2015,C_impact_2015
32,1019,Suchitepéquez,Pueblo Nuevo,1045.6881989820274,1905.1211968347257,347.40839170400017,-2.705950738195812,2.705950738195812,1365,3832,35.62108559498956,1405.55938887814,97.11435964932704,45.0,81.76470588235294,63.38235294117647,171.50952472976397,-1.606152704149679,1.606152704149679,101.80173757183996
33,1406,Quiché,Chichicastenango,376.3216112375678,790.4601200282909,171.47348210335065,-2.474797160195444,2.474797160195444,16786,48257,34.78459083656257,9934.070968954058,168.97402940304713,43.8235294117647,94.70588235294116,69.26470588235294,171.41609741941974,-1.5459700656218898,1.5459700656218898,107.08116189822208
34,0715,Sololá,San Pablo La Laguna,657.1620407104492,1325.908506155014,265.1779670282575,-2.4820971626681945,2.4820971626681945,847,2529,33.491498616053775,359.48964717298,235.61179206711307,39.70588235294117,98.23529411764706,68.97058823529412,171.19170136637987,-1.5632377551714938,1.5632377551714938,107.8174275257986
35,1213,San Marcos,El Tumbador,1430.4197662150398,2298.952968401595,371.64538335788393,-2.4808710919152355,2.4808710919152355,7195,13161,54.669098092850085,13163.871558116569,54.65717261244252,81.17647058823529,56.76470588235294,68.97058823529412,171.1071385453302,-1.0114536963569942,1.0114536963569942,69.76055641050445
36,1504,Baja Verapaz,Cubulco,449.14581836412617,700.5587277539829,144.42014781052524,-2.060185978551808,2.060185978551808,9031,16206,55.7262742194249,10450.375862149622,86.41794437948896,82.94117647058825,78.52941176470588,80.73529411764707,166.32972091543274,-2.007426567390408,2.007426567390408,162.07017433784327
37,0310,Sacatepéquez,Magdalena Milpas Altas,299.9384107805216,619.0515892782608,123.36504196439412,-2.676986117048259,2.676986117048259,1132,4639,24.40181073507221,514.5319092055884,220.00579162286584,26.176470588235297,97.35294117647058,61.76470588235294,165.34326017062776,-1.0977234308621218,1.0977234308621218,67.80056484736635
38,0807,Totonicapán,Santa Lucía La Reforma,314.7880288786272,574.2064779855504,136.76948524516544,-1.9962662594887688,1.9962662594887688,2533,5469,46.31559700127994,1130.402522077403,224.0794717394089,65.88235294117646,97.6470588235294,81.76470588235293,163.224123569964,-1.621557548637253,1.621557548637253,132.5861760356342
39,0709,Sololá,San Andrés Semetabaj,357.4007553117545,737.6690082579007,150.72352112651757,-2.589404600832558,2.589404600832558,1730,4804,36.01165695253955,1993.202783379378,86.7949821476202,46.1764705882353,78.82352941176471,62.5,161.83778755203488,-1.535062123106982,1.535062123106982,95.9413826941864
40,1203,San Marcos,San Antonio Sacatepéquez,597.6593854273333,890.8579216882399,144.46166888061038,-2.115528983137663,2.115528983137663,2476,5174,47.85465790490916,2345.109555778036,105.5814212986113,67.64705882352942,84.70588235294117,76.1764705882353,161.15353136254555,-1.178788667168242,1.178788667168242,89.79596023428668
41,0306,Sacatepéquez,Santiago Sacatepéquez,361.76958743849474,755.7944422890781,162.81505442021967,-2.5417053030404606,2.5417053030404606,3829,13232,28.937424425634823,2143.6436321764777,178.62110765642288,31.47058823529412,95.2941176470588,63.382352941176464,161.09926258977035,-1.2860560053730332,1.2860560053730332,81.51325563467313
42,2105,Jalapa,San Carlos Alzatate,601.96179880853,970.4812457630992,190.00990963035903,-2.0511351069479047,2.0511351069479047,4164,5642,73.80361573909961,7338.86030619789,56.739055197485854,97.35294117647058,58.82352941176471,78.08823529411765,160.16952085137316,-1.7761454642753562,1.7761454642753562,138.69606493091385
43,2004,Chiquimula,Jocotán,336.128863164823,776.0845423546282,170.4545949105898,-2.5149052458863457,2.5149052458863457,6540,12441,52.56812153363877,13734.296954951616,47.61801802779674,77.3529411764706,50.0,63.6764705882353,160.14028992188054,-2.2013698599009954,2.2013698599009954,140.17546313781338
44,1412,Quiché,Joyabaj,380.4708322875286,749.7198841695089,147.26967914685483,-2.603391319982193,2.603391319982193,8822,16785,52.55883229073578,20267.23564270824,43.5283832266192,77.05882352941177,45.294117647058826,61.1764705882353,159.26629251655768,-1.6526769230022191,1.6526769230022191,101.10494117190046
45,0713,Sololá,San Lucas Tolimán,480.1958409735826,1003.3613775440534,195.54731318396853,-2.6486129567810224,2.6486129567810224,3836,10396,36.898807233551366,5153.3660655884905,74.43678464091307,47.05882352941176,72.35294117647058,59.70588235294117,158.1377735960434,-1.463399647171367,1.463399647171367,87.37356716934926
46,2102,Jalapa,San Pedro Pinula,347.863922815772,747.6731579734328,177.17944437925806,-2.331592906543262,2.331592906543262,11233,17698,63.47044863826421,25986.020032806933,43.22708897252645,90.58823529411764,45.0,67.79411764705883,158.06828381124174,-2.0793265984638416,2.0793265984638416,140.96611204291634
47,0315,Sacatepéquez,San Antonio Aguas Calientes,334.6225304007186,721.664221766302,145.22642163423063,-2.833356236144592,2.833356236144592,671,5435,12.34590616375345,186.031676529294,360.6912610360414,11.76470588235294,99.70588235294116,55.73529411764706,157.91794316158828,-1.0963942105137656,1.0963942105137656,61.10785379187017
48,0707,Sololá,Santa Clara La Laguna,733.434886324318,1452.6010731567717,287.3942095803723,-2.5462195673729164,2.5462195673729164,826,3248,25.43103448275862,441.568351691054,187.06050758318747,27.94117647058824,95.88235294117648,61.91176470588236,157.64094674470556,-1.5273839688246498,1.5273839688246498,94.56303689340848
49,1214,San Marcos,El Rodeo,1409.019605419996,2206.744510426737,310.6689740567264,-2.689356017700854,2.689356017700854,2369,5219,45.39183751676566,4765.6421263224,49.70998529065241,64.41176470588236,52.352941176470594,58.38235294117648,157.01093220988813,-1.135371176298409,1.135371176298409,66.28564073389241
50,0714,Sololá,Santa Cruz La Laguna,417.24388608295874,887.9995315656525,183.0186912563216,-2.5403685818733908,2.5403685818733908,563,1653,34.05928614640048,579.79513652952,97.10326364066268,41.47058823529412,81.47058823529412,61.47058823529412,156.15795106221725,-1.5344359392181564,1.5344359392181564,94.32267979311608
51,0314,Sacatepéquez,Alotenango,679.6412929912086,1263.3968676012828,225.18995712839185,-2.7211369405535075,2.7211369405535075,2960,8880,33.333333333333336,3780.930230255664,78.28761230010443,39.11764705882353,74.70588235294117,56.91176470588235,154.8647052932658,-1.0301364646990636,1.0301364646990636,58.62688409390259
52,1209,San Marcos,Tajumulco,1232.078219535883,1758.795428133515,297.0494111595041,-1.9070594399950185,1.9070594399950185,6306,8916,70.72678331090175,9607.963223148774,65.63305722077237,95.58823529411764,66.76470588235294,81.1764705882353,154.80835454077211,-0.9991994892761352,0.9991994892761352,81.11148795300393
53,1212,San Marcos,Nuevo Progreso,1382.245771613722,2175.9494155862394,337.1848153526557,-2.499983239044404,2.499983239044404,4536,8242,55.03518563455472,11041.145652120234,41.082693254109465,82.35294117647058,41.47058823529412,61.91176470588235,154.77837406436677,-0.9444065587696476,0.9444065587696476,58.46987665323847
54,1605,Alta Verapaz,Tamahú,730.6405039073428,1222.274638032737,250.7826709464337,-1.996395108736016,1.996395108736016,3313,6511,50.88312087236984,3448.54207104135,96.06958337033072,73.82352941176471,81.17647058823529,77.5,154.72062092704124,-2.066116705752356,2.066116705752356,160.1240446958076
55,2213,Jutiapa,Conguaco,655.1005215924154,1038.683223773962,196.5643055042153,-2.0460761747008926,2.0460761747008926,4680,6324,74.00379506641366,9157.1583568792,51.10755779913109,97.6470588235294,53.23529411764706,75.44117647058823,154.35839376787615,-2.244865778646125,2.244865778646125,169.35531535962676
56,2103,Jalapa,San Luis Jilotepeque,268.74454656867204,592.8512629405656,133.3674210549345,-2.5519955711498303,2.5519955711498303,4393,9113,48.2058597607813,8855.842639990307,49.60566914505166,68.82352941176471,52.05882352941177,60.44117647058824,154.24561466802652,-2.1976310611538947,2.1976310611538947,132.82740678444864
